ant	n. 蚂蚁
warmth	n. 暖和, 温暖, 热烈, 热情, 热心
substitution	n. 代理,替换,交换
inexpensive	adj. 花费不多的，廉价的
accomplishment	n. 成就,完成
fragile	adj. 易碎的,脆的,精细的
phosphate	n. 磷酸盐，磷肥，磷酸果汁汽水
epic	n. 史诗,叙事诗 adj. 史诗的,叙事诗的,宏大的,壮丽的
tricky	adj. 狡猾的,欺骗的,棘手的
relay	vt. 中继,用继电器控制,接替,传递 n. 替班人,接力赛,继电器,传递
trillion	n. 万亿, 大量, 兆 adj. 万亿的, 兆的
crumble	v. 崩溃, 弄碎, 减亡
silk	adj. 丝的 n. 丝, 绸
variability	n. 易变, 变化性, 变异性
residual	adj. 残余的,剩余的 n. 剩余部分, (复)追加酬金
mold	n. 模子,模型,类型,模式,雏型,真菌,软土 vt. 形成,形成,制模,发霉 vi. 符合形状,发霉
telescope	n. 望远镜 v. 缩短, 压缩
cyclic	adj.循环的，周期性的，环形的
stabilize	v. 使安定, 使坚固
inference	n. 推理,推论
jungle	adj. 丛林的,蛮荒的 n. 丛林,密林
critically	adv. 批评性地, 爱挑剔地, 重要地, 危急地
refine	vt. 精炼,净化,使优雅 vi. 被提纯,改进
refuge	n. 避难(处), 庇护(所) v. 庇护, 避难(所)
circa	prep. 大约
instability	n. 不安定,不稳定,基础薄弱
textile	adj. 纺织的 n. 纺织品
chronic	adj. 长期的,慢性的,惯常的
biodiversity	n. 生物多样性
cereal	adj. 谷类(的),谷物(的) n. 谷类食物
decisive	adj. 决定性的；果断的，坚定的
poorly	adv. 贫穷地，不充份地，贫乏地 adj. 身体不舒服的，心情恶劣的
gel	n. 凝胶,发胶,彩色透明滤光版 vi. 形成胶冻
sensation	n. 感觉,感知力,激动,轰动
taxpayer	n. 纳税人
wax	n. 蜡,蜡状物,震怒 vi. 变大,增大,月亮满 vt. 用蜡涂
decoration	n. 装饰, 装饰品
degrade	vt. 贬低；使……丢脸；使……降级；使……降解 vi. 降级，降低；退化
orient	adj. [诗]东方的,闪闪发光的 n. 东方,珍珠,东方国家 vt. 使向东,确定方向,定位,以...为参照,使熟悉或适应 vi. 转向东方
jar	n. 不和谐,刺耳声,震动,震惊,广口瓶 vi. 发刺耳声,不协调,震动 vt. 扰乱,使不稳定
patience	n. 耐心,毅力
invoke	vt. 求助,用咒语召唤,请求,应用,引起 [计算机] 调用
irrelevant	adj. 不恰当的,无关系的,不相干的
displacement	n. 换置, 转位, 移动 [计算机] 位移
soak	n. 浸,湿透,喝醉 vt. 使…湿透,浸泡在液体中,浸洗，吸入，使某人喝醉，向某人敲竹杠 vi. 浸入液体，渗透，感化（某人），无节制地喝酒
hammer	n. 锤,榔头 vi. 锤击,反复敲打 vt. 锤打,严厉批评
carrot	n. 胡萝卜,报酬,好处
planner	n. 计划者，设计者
onwards	adv. 向前，前进，在前面 =onward
wool	n. 毛线,毛织品,羊毛
inhibition	n. 禁止, 禁制, 压抑
peculiar	adj. 奇怪的,古怪的,特殊的,独特的 n. 特权
justification	n. 辩护, 证明正当, 释罪 [计算机] 对齐
penetrate	vt. &vi. 穿透,渗透,看穿
harmony	n. 和弦,协调,和睦,调和
cellular	adj. 细胞的,松织的 n. 手机
hormone	n. 荷尔蒙, 激素
wildlife	n. 野生动物
disregard	n. 不理会, 漠视 vt. 忽视, 不顾
marker	n. 标记，做记号的工具,做记号的人,记分员
lengthy	adj. 冗长的, 漫长的
predominantly	adv. 优越地,卓越地,主要地
desirable	adj. 值得有的,令人满意的,有吸引力的 n. 有吸引力的人
hatch	n. 孵化,舱口 vt. 孵,孵出 vi. 孵化，破壳
epidemiology	n. 传染病学，流行病学
credibility	n. 可信用, 确实性, 可靠
slash	vi. 大幅度削减 vt. 猛砍,尖锐抨击,大幅减少 n. 猛砍,斜线,长切口,衣衩
unaware	adj. 没有发觉的, 不知道的
photographic	adj. 摄影的，逼真的
adverse	adj. 不利的；有害的；反面的
antibiotic	adj. 抗菌的 n. 抗生素
hawk	n. 鹰,掠夺别人的人,鹰派人物 n. 清嗓 v. 用训好的鹰捕猎,像鹰一般地袭击,鹰啸，清嗓 v. 沿街叫卖
tolerate	v. 忍受,容忍,容许,宽恕 vt. 容忍,忍受,容许
mammal	n. 哺乳动物
excessive	adj. 过多的,过分的
marginal	adj. 边际的,末端的,仅以微弱多数获胜的,微小的
specimen	n. 样本,标本
anytime	adv. 任何时候；无例外地
swap	n. 交换 vt. &vi. 交换,用...作交易
diffusion	n. 散布, 传播, 蔓延
whereby	adv. 借此(在...旁,凭什么)
spill	vt.& vi.溢出； 泼出； 涌出； 蜂拥而出 n.洒出； 泼出； 溢出；小塞子
pipeline	n. 管道, 管线
chew	vt. 咀嚼,嚼碎,损坏 vi. 咀嚼 n. 咀嚼,咀嚼物
splice	v.&amp;n. 接合,衔接 vt. 拼接
hello	int.（见面打招呼或打电话用语）喂,哈罗
mysterious	adj. 神秘的,不可思议的
spoon	n. 匙,匙形的铲子 vt. 以匙舀起
dirt	n. 污垢,泥土, 污秽的言行,卑鄙的人,堕落,矿渣
lag	n. 落后, 滞后, 落后的人, (两事件之间的)时间间隔, 耽搁, 桶盖 vt. 落后, 投掷, 盖上桶盖, 耽搁 vi. 走得慢, 落后 adj. 最后的
herd	n. 兽群,人群,牧人 vt. 群集,使...成群,放牧 vi. 聚在一起
sibling	n. 兄弟姐妹
spur	n. 马刺, 刺激, 鞭策, 支脉, (公路或铁路的)支线, vt. 以马刺策(马)前进, 刺激, 激励, 给(马)装马刺
capitalism	n. 资本主义
parenthesis	n. 圆括号, 插入语, 插曲，间歇,停歇
census	n. 户口普查 v. 实施统计调查
autonomy	n. 自治
plural	adj. 复数的 n. 复数
monopoly	n. 垄断,专利, 独占，控制
realism	n. 写实主义, 现实主义
morality	n. 道德, 美德, 品行, 道德观
expedition	n. 远征,探险队,迅速
imperial	adj. 帝国(王)的,至尊的,特大的 n. 皇帝, 女皇, 马车车顶, 特大号, 特级品
luckily	adv. 幸运地, 幸亏地
formally	adv. 正式地, 形式上地
conditional	adj. 有条件的, 假定的，假设的 n. [语]条件句
conserve	n. 蜜饯,果酱 vt. 保存,与糖放在一起,保持
starve	v. 使饿死, 饿得要死
lazy	adj. 懒惰的
ruler	n. 尺子 n. 统治者
exotic	adj. 异国的,外来的,奇异的,脱衣舞的 n. (复数)异国风格的事物,脱衣舞者
explosive	adj. 爆炸(性)的 n. 炸药
thesis	n. 毕业论文, 论题, 论文
nitrogen	n. 氮
continuously	adv.不断地,连续地
daytime	n. 白天, 日间
scroll	n. 卷轴,目录 vt.& vi. 卷动
turkey	n. (Turkey)土耳其,火鸡,笨蛋,失败之作
aspiration	n. 渴望；抱负；送气；吸气；吸引术
tightly	adv. 紧紧地, 坚固地
simulation	n. 模拟,仿真,赝品
communicative	adj. 健谈的，爱说话的, 畅谈的
oak	n. 橡树, 橡木 adj. 橡木制的
flap	n. 拍打，拍打声；襟翼 vt.& vi. 拍打,鼓翼而飞,飘动
physiological	adj. 生理的, 生理学的
downward	adj. 向下的 adv. 向下
interviewer	n. 采访者, 接见者, （面试时的）主考官
northwest	n. 西北, 西北方 adj. 西北的, 在西北的, 来自西北的 adv. 向西北
tribute	n. 贡品,颂词,称赞,(表示敬意的)礼物
lick	n. 舔,少许,打 vt. 舔,连续击打,击败 vi. 用舌头舔,拍打
indifference	n. 不重视, 无兴趣, 漠不关心
formulation	n. 形成, 简洁陈述, 公式化
overlap	n. 重叠,重复 vt. 重叠,重复 vi. 有重叠部分 [计算机] 重叠
chemotherapy	n. 化学疗法
endeavor	n. 努力, 尽力, 进取心 vt. 努力,尽力 vi. 企图, 谋求
fortunate	adj. 幸运的,侥幸的
epidemic	n. 传染病, 流行病 adj. 流行的, 传染性的
erase	v. 抹去,擦掉 [计算机] 擦除
imitate	v. 模仿 vt. 仿制,仿造,模仿,仿效
scent	n. 气味,香味,痕迹 vt. 闻出,发觉,使充满味道,得到...的暗示 vi. 嗅闻,循着遗臭追踪,散发气味
primitive	adj. 原始的 n. 原始人,文艺复兴前的艺术家
prince	n. 王子, 亲王, 佼佼者
proliferation	n. 增殖,分芽繁殖
tract	n. 广阔的土地,地域,器官系统,宣传小册子
matrix	n. 母体,子宫 细胞 脉石,字母 n.矩阵
uphold	v. 支撑, 赞成, 鼓励
lion	n. 狮子
nominal	adj. 名义上的,有名无实的,名词性的 n. 名词词组
dissertation	n. 论文
subtract	vt. 扣掉 vi. 减少
accumulation	n. 积聚, 累积, 积聚物
competent	adj. 有能力的,胜任的,足够的
bark	n. 狗叫,咆哮,厉声说话,树皮,小帆船 vi. 吠叫,咆哮,急促地说 vt. 咆哮,叫卖,撕(表皮)
acidic	adj. 酸的,酸性的
arch	n. 拱门,弓形 vt. 使成弓形弯曲, 拱起 vi. 成弓形, 用拱连接 adj. 主要的,调皮的
administrator	n. 管理人,行政官
successive	adj. 接连的, 连续的, 接二连三的
efficiently	adv.有效率地,有效地
consonant	n. 辅音 adj. 一致的,调和的,辅音的
mentor	n. 指导者 vt. 指导
ash	n. 灰, 灰烬
upright	adj. 正直的, 诚实的, 合乎正道的
seldom	adv. 很少 adj. 很少的
metabolism	n. 新陈代谢
warehouse	n. 仓库 vt. 存入仓库
athletic	adj. 运动的,活跃的,健壮的
methodology	n. 一套方法,方法学
utterance	n. 说话, 发表, 说话的方式
bypass	vt. 绕开, 忽视 n. 支路，旁道
surgeon	n. 外科医生
pi	n. 圆周率
chloride	n.[化]氯化物
portrayal	n. 描绘，肖像，画像
imaginative	adj. 富于想象力的
