responsible	adj. 有责任的,负责的,责任重大的,应负责的
warm	adj. 暖和的,快要发现的,热心的,新鲜的 vt. &vi.(使)变暖，（使）变得更友好, 加温 adv. 温暖地
shoulder	n. 肩膀, 角度, 交接处 vt. 肩负,承担,用肩推挤 vi. 用肩推挤
properly	adv. 适当地, 相当地, 当然地
equivalent	adj. 等价的, 相等的 n. 相等物
era	n. 纪元, 时代, 年代
influence	vt. 影响, 感化 n. 影响力, 势力; 影响, 权势 n. 有影响的人(或事物)
peer	vi. 凝视，盯着看；窥视 vt. 封为贵族；与…同等 n. 贵族；同等的人
blood	n. 血,血统,仇恨 vt. 流血
crew	n. 全体船员, 全体乘务员 vi. 一起工作
manufacture	n. 产品,制造,制造业 vt. 制造,加工 vi. 参与制造
critical	adj.批评的，爱挑剔的； 危险的，危急的； 决定性的； [物]临界的
concentration	n. 集中, 专心, 浓度
reality	n. 现实,实际,真实
cross	n. 十字架,十字架形物件,交叉,交叉路 adj. 生气的,交叉的 vt. 划叉剔除，画横线于 vi. 穿越 prep. 穿过
net	n. 网,净利,实价 adj. 净余的,纯粹的 vt. 用网捕,撒网,净赚
cast	n. 演员阵容, 投掷 v. 投, 掷, 抛
insist	vt. 坚持,强调 vi. 坚决主张
lady	n. 夫人, 女士
annual	adj. 每年的,年度的,一年生的 n. 年刊,年鉴,一年生植物
everywhere	adv. 到处, 无论何处
recognize	vt. 认出,认可,承认,意识到,表示感激
recommendation	n. 推荐, 介绍
examination	n. 考查,考试,审讯
mathematics	n. 数学
apparent	adj. 显然的；表面上的；似乎真实的
suppose	vt.假定； 猜想，推测； 认为； 让（用于祈祷语气） vi.想象，猜想
volume	n. 体积, 容量, 音量 n. 卷, 册
current	n. (水、气、电)流, 趋势 adj. 流通的, 现在的, 最近的
refer	vt. 把…提交; 把...归因, 归类为 vi. 谈及, 咨询, 参考
ten	num. 十, 十个
exchange	n. 交换,交换物,汇兑,交易所 vt. &vi. 交换,交易,兑换
graduate	vt. 毕业;(在表、计、尺上)刻[分]度,定等级 vi. 毕业,获学位,逐渐变得 n. 毕业生 adj. 毕业的,获得学位的
apply	vt. 应用, 申请; 涂 vt. 使专心从事 vi.申请; 有关联
attempt	vt.试图； 尝试 n.进攻； 尝试，冲击
cable	n. 电缆,海底电报 vt. 打海底电报,把...拧成缆,用缆捆住 vi. 打海底电报
paint	n. 油漆,颜料,绘画作品 vt. &vi. 油漆,绘画
restrict	v. 限制,约束
region	n. 地区,地域,地带,行政区
exist	v. 存在
regulation	n. 规则, 规章, 管理 adj. 规定的, 官方的
expense	n. 消费,支出
memory	n. 记忆,内存,回忆
slow	adj. 慢的 adv. 慢慢地 vt.& vi. 放慢,减速
mental	adj. 精神的,脑力的,精神错乱的,传心术的,[解剖学]颏的
cancer	n. 癌,巨蟹座
religion	n. 宗教;宗教信仰
growth	n. 生长, 增长, 生长物
guarantee	n. 保证(书), 担保(书) n. 担保人; 抵押品 vt. 保证, 担保
debt	n. 债务, 义务, 负债状态, 罪, 过失
decade	n. 十年
declare	vt. &vi. 宣布,声明,申报
pattern	n. 图案, 式样, 典范 v. 以图案装饰; 仿造, 模仿
factory	n. 工厂, 制造场所
milk	n. 奶, 乳状物 v. 挤乳, 产乳
associate	vt.（使）发生联系； （使）联合； 结交； 联想 vi.联盟； 陪伴同事 n.合伙人； 伴侣，同志； 非正式会员 adj.联合的； 合伙的； 非正式的； （性质上）有密切联系的
define	vt. 定义, 解释
reporter	n. 记者
society	n. 社会, 社团，阶层圈子
usually	adv. 通常
delight	n. 快乐,高兴 vi. 给与乐趣,使高兴 vt. 使高兴
requirement	n. 要求,必要条件
solid	adj. 固体的,结实的,可靠的,实心的 n. 固体,实心
deny	vt. 否认, 拒绝, 反对, 克制
depend	vi. 依靠,相信,指望
mobile	adj. 可移动的,易变的,迁徙的, 流动的 n. (可随风飘动的)悬挂装置, 可动雕塑
respectively	adv. 各自地, 分别地
deserve	vi. 应该得到 vt. 应受,值得
fast	adj.快的； 走得快； 感光快的； 紧的 adv.（比准确的时间或宣布的时间）快； 迅速地； 紧紧地； 彻底地 vi.禁食，（尤指）斋戒 n.禁食期，斋戒期； 断食，节食
title	n. 头衔,名称,标题,所有权,资格,冠军 vt. 赋予称号,加标题于 adj. 标题的
source	n. 来源
certainly	adv. 当然
motion	n.运动； 手势； 动机，意向； 请求 vt.打手势； 向某人点头或摇头示意； 打手势要求[指示] vi.运动； 打手势
pick	n. 采摘, 精选,鹤嘴锄,精品, 收获量 vt. 摘,挑选,挑惕,剔除,戳,撬 vi. 慎选, 凿, 吹毛求疵, 采收
revolution	n. 革命, 旋转, 转数
dollar	n. 美元
rich	adj. 富有的,浓厚的,贵重的,富饶的
movement	n. 活动,运动,动作,移动
female	adj. 雌的,女(性)的 n. 雌性的动植物,女子
notice	n. 注意,布告,通知 vt. 注意,通知,留心
pilot	n. 飞行员,领航员,引航员 vt. 领航,驾驶,向导 adj. 引导的,示范的
identity	n. 身份,一致，特征
reply	vt. &vi. &n. 回答,答复
sequence	n. 序列, 一系列, 顺序, 一组镜头 vt. 安排顺序
heavily	adv. 很重地, 沉重地, 沉闷地
heavy	adj.重的，沉重的； 大量的，浓密的； 激烈的； 重型的 n.重物； 庄重的角色 adv.密集地； 大量地； 笨重地
fight	n. 打架,战斗,斗志 vt. 对抗,打架 vi. 斗争,奋斗
hell	n. 地狱
river	n. 江, 河
myself	pron. 我自己
approximately	adv.近似地,大约
lack	vt.缺乏，缺少； 需要的东西 n.缺乏，不足，没有； 缺少的东西
final	adj. 最后的 决定了的 n. 决赛,期末考试
enterprise	n. 企业,企划,进取心
entertainment	n. 娱乐
nation	n. 国家, 民族
church	n. 教堂,礼拜仪式,基督教徒 adj. 教堂的 vt. 把...带到教堂接受某种宗教仪式
enable	vt. 使...能够,使可行 [计算机] 使能
presence	n. 出席,在场者,举止
plenty	n. 充足,大量
hi	int. 嗨, 引人注意时的喊声, 打招呼
root	n. 根,根源,祖先 vt. &vi. 生根,扎根,翻寻,起源于
stage	n. 阶段,舞台,驿站 v. 上演,表演,乘驿车旅行
false	adj. 不真实的,错误的,人造的,假的,虚伪的 adv. 不真诚地,虚伪地
reward	n. 报酬,报答,赏金 vt. 给...报酬,奖赏
fit	adj. 适宜的,对的,准备好的 v. 适合,安装 n. 适宜,发作,一阵
police	adj. 警察的 n. 警察,警方 v. 管辖
distinction	n. 区别; 卓越; 殊荣
standard	n.标准，规格； 旗，军旗； 度量衡标准； 直立支柱 adj.标准的，合格的； 普遍的，一般的； 公认为优秀的
politician	n. 政治家, 政客
proceed	vi. 继续进行; 开始, 着手
hole	n. 孔,洞,穴 vt. &vi. 挖洞,掘坑,进洞
holiday	n. 假期,假日 vi. 度假
trouble	n. 困扰,麻烦,困难,故障 vt.& vi. 困扰,麻烦
truck	n. 卡车,对...进行交易,来往,实物工资 vt.对...进行交易,交往,以卡车运输 vi.驾驶卡车,以物易物
status	n. 地位, 身份, 情形, 状况
accept	vi.承认； 同意； 承兑 vt.接受； 承认； 承担； 承兑
email	n.电子信函
nineteen	十九
intention	n. 意图,意向,目的
post	n. 邮件, 标竿, 职位 vt. 邮递, 发布, 布置
coast	n. 海岸,海滨,滑坡 vt. 沿海岸而行 vi. 下滑
coat	n. 外套,一层,动物皮毛 vt. 外面覆盖,盖上毛衣
doctor	n. 医生,博士 vt. 医治,篡改,对...做手脚 vi. 用药
code	n. 码,密码,法规,准则 vt. 把...编码,制成法典
sector	n. 扇形,扇区,部门,区域 vt. 分区
football	n. 足球 n. 橄榄球
troop	n. 群,组,军队,大量,童子军 vi. 群集,结队,成群前行,陪伴
column	n.纵队，列； 圆柱； 专栏
combination	n. 结合,联合，联合体
nor	conj.&adv. 也不,也没有 [计]"或非"，"非或" abbr. 诺曼人(=Norman) abbr. 北方（=North） abbr. 挪威（= Norway） abbr. 挪威人（=Norwegian）
storm	n. 暴风雨 v. 猛攻,捣毁,起风暴 vi. 起风暴,强攻 vt. 猛攻,捣毁
nose	n. 鼻子, 突出部分, 嗅觉 v. 嗅，嗅到
foreign	adj. 外国的,外交的,不相关的
typical	adj. 典型的, 有代表性的
strange	adj. 陌生的, 奇怪的
library	n. 图书馆, 藏书
station	n. 车(站),位置,姿势,地位 vt. (配)安置
underlie	v. 位于...之下, 成为...的基础
forth	adv.向前，向前方； 露着的，往外的； [废语]出外，离家 prep.出自，从…离开
illustrate	vt. 举例说明,作图解 vi. 举例
dress	n. 女装,服装,连衣裙 vt. &vi. 穿著 adj. 正式的(衣服)
primary	n. 最主要者 adj. 主要的, 初期的, 根本的
essentially	adv. 本质上,本来
impact	n. 冲击(力), 冲突, 影响(力) vt. 挤入, 压紧; 撞击; 对...发生影响
print	n. 版,印刷物,印迹 vt. &vi. 印刷,出版,打印 adj. 印刷的
commit	v. 委托(托付), 犯罪, 作...事, 承诺 [计算机] 委托
unit	n. 单位, 单元
search	n. 搜寻, 探究 v. 搜寻, 探求, 调查
production	n. 生产,产品,产量,作品,成果
teacher	n. 教师
complaint	n. 抱怨
completely	adv. 完全地, 十分地, 全然
devote	vt. 投入于,献身
bag	n. 包,猎获物 vt. 鼓起,把...装入袋中,猎杀,占有 vi. 鼓起,宽松地下垂或悬吊
fruit	n. 水果 vt. &vi. 结果实
proof	adj. 防...的,耐...的,能防护 n. 校样,证据,证明 vt. 检验,给...做防护措施
contract	n. 合约, 婚约; 合同书 v.签合同； 缩小； 感染
block	n.块； 街区； <英>大楼，大厦； 障碍物，阻碍 vt.阻止； 阻塞； 限制
volunteer	n. 志愿者,自行生长的植物 adj. 志愿的,自行生长的(树等) vt. &vi. 自愿(做)
proposal	n. 求婚, 提议, 建议
dream	n. 梦, 理想 vt. &vi. 做梦, 想象
oil	n. 油,油画颜料,奉承话 vt. &vi. 涂油,溶化,加油
protein	adj. 蛋白质的 n. 蛋白质
breakfast	n. 早餐 vt. 吃早餐 vi. 提供早餐
publish	vt. 出版,发行,公开发表 vi. 出版,发行
honor	n. 荣誉,荣幸,贞洁,正直,信用 vt. 尊敬,授予荣誉,实践,兑现
surely	adv. 的确地, 安全地
education	n. 教育,培养
senior	n. 年长者,上司,毕业班学生 adj. 年长的,高级的,资深的
beautiful	adj.美丽的, 漂亮的
everyday	adj. 每天的,日常的 b.平常的日子
survey	n. 调查; 纵览, 视察, 测量 vt. 审视, 视察, 通盘考虑, 调查; 勘测 vi. 测量, 勘测
suspect	vt.猜疑（是）； 怀疑，不信任； 怀疑…有罪 n.嫌疑犯 vi.怀疑
generation	n. 代, 一代
cry	n. 叫,哭,喊,口号,叫卖声,普遍意见 vt. 大声叫喊,宣传,哭得... vi. 哭,叫,喊,强烈要求
mainly	adv. 主要地
gentleman	n. 绅士, 先生，有教养的人
consist	n. 组成 vi. 组成,存在,一致
brain	n.脑； 智慧； 聪明的人； （群体中）最聪明的人 vt.打破…的脑袋； 打…的头部
convention	n.会议； 全体与会者； 国际公约； 惯例，习俗，规矩
background	n. 背景,幕后,配音 vt. 提供背景
climb	vt. &vi. 攀登,上升,爬 n. 攀登(处)
contemporary	n. 同时代的人；同时期的东西 adj. 当代的；同时代的；属于同一时期的
content	n. 内容, 目录, 含量 adj. 满足的, 满意的 vt. 使...满足, 使...安心
bank	n. 银行,堤,岸 vt. 堆积 vi. 开户, 把...存入银行
seven	num. 七
bed	n. 床，河床，底层，基座 vt. 铺床，去睡觉，安置，发生性关系 vi. 铺床，去睡觉，铺层，躺平
additional	adj. 附加的, 另外的
severe	adj. 剧烈的, 严重的, 严峻的, 严厉的, 严格的
classic	n. 古典作品,杰作,第一流艺术家 adj. 第一流的,最优秀的,古典的
discover	vt.& vi.发现
adopt	v. 采用, 收养, 接受
client	n.顾客； 当事人； 诉讼委托人； [计算机]客户端
shall	aux. 应该；会；将要；必须
vision	n. 视觉,先见之明,光景,视力,眼力,幻想，影像 vt. 幻想
occasion	n. 场合,机会,理由 vt. 致使,惹起,引起
opinion	n. 看法,意见 v. 判断,意见,主张
coverage	n. 涉及范围(如保险范围或储备金额)，涂层，新闻覆盖率
wonder	n. 惊奇；奇迹；惊愕 vi. 怀疑；想知道；惊讶 vt. 怀疑；惊奇；对…感到惊讶 adj. 奇妙的；非凡的
engine	n. 发动机, 引擎, 机车, 火车头 vt. 装引擎
opposition	n. 反对,敌对,在野党
shoe	n. 鞋
increasingly	adv. 逐渐地, 渐增地
cool	adj. 凉的,凉快的,冷静的,冷色系的 adv. 冷静地 n. 凉快 vt. &vi. (使)变凉,(使)冷静
independent	adj. 独立的, 自主的，私立的，无偏见的 n. 独立派人士, 无党派者
indicate	v.指明, 表明, 显示, 象征, 指示
shot	n.射手，击球； 开枪，发射； 企图； 注射 adj.闪色的，颜色会变化的； 交织的； 渗透的； （俚语）坏透了的，筋疲力尽的 vt.射中，射击； 给…装弹； 注射； 抛出 vi.发射，射击； 突然出现 v.拍摄(shoot的过去式和过去分词)； 射杀； 开（枪或其他武器）； 打猎
childhood	n. 童年,幼年
competitive	adj. 竞争的, 比赛的
trace	n. 痕迹,踪迹,微量 vt. 追踪,找出根源,描绘 vi. 追踪
ratio	n. 比,比率
shut	adj. 关闭的,合拢的,围绕的 vt. 关上，防止进入，禁闭，合上，停止或中止 vi. 关闭，停止或中止 n. 关闭
evaluate	vt. 评估,评价
sight	n. 景观, 视力, 眼界 vt. 看见, 观看 vi. 瞄准
mark	n. 污迹, 标记, 分数, 烙印, 纪录 vt. 做标记于, 留意, 打分数, 留下污痕, 使...明显 vi. 做标志, 记分, 留下印记
intelligence	n. 理解力, 智力, 情报, 情报工作, 情报机关
weekend	n. 周末 vi. 过周末 adj. 周末的, 兼职的
trade	n. 贸易,商业,交易,行业,同行,手工艺,主顾,(复数)信风 vi. 做生意,购物,交换 vt. 用某物交换,做买卖 adj. 商业的,专业性的,同行的
technology	n. 技术,工艺(学)
retail	n. 零售 vt. 零售 adj. 零售的 adv. 以零售形式
silver	adj. 银色的,银的 n. 银,银币,银器 vt. 镀银,变成银白色
telephone	n.电话； 电话机； （电话机的）话筒； 受话器 vt.& vi.以电话传送（消息），给（某人）打电话； 用电话与（某人）交谈
welfare	n. 福利,社会保障,幸福 adj. 福利的
exactly	adj. 完全的 adv. 恰好地,正好地,正确地,精确地,正是
instruction	n. 说明,须知,指令,教学
examine	vt.检查，调查； 考试； 诊察； 审问 vi.检查； 调查
reduce	vt.换算； 约束； 使变为； 使变弱 vi.减少； 减轻体重； [生物学]（细胞）减数分裂； （液体）浓缩变稠
wheel	n. 轮子,周期,旋转运动 vi. 旋转,转动 vt. 推或拉车,传送,打圈,装以车轮
grade	n. 年级,成绩,分数,等级,级别 vt. 分级,记成绩
treatment	n. 治疗,疗法,处理
excite	v. 刺激, 使...兴奋, 激励
exclude	vt. 除外,排除,拒绝 [计算机] 排除
pain	n. 痛苦,疼痛,辛苦 vt. &vi. 使...痛苦,痛苦,疼
executive	n.总经理； 行政部门； [计算机]执行指令 adj.执行的； 管理的； 政府部门的
currency	n. 货币; 流通
internal	adj. 国内的, 内在的，身体内部的
regular	adj. 有规律的,有规则的,整齐的,正规的
injury	n. 受伤处,损害,伤害
expectation	n. 期待,期望 v. 期待,前程
slight	n. 轻蔑 adj. 轻微的,纤细的,脆弱的 vt. 轻视,忽略
park	n. 运动场,专业区,园区,公园,停车处 vt. 停车,放排放置于 vi. 停车
slip	vi.滑，滑脱； 犯过失，出错； （时间）不知不觉地过去； （健康状况等）变差 vt.使顺利滑动； 摆脱； 放松，松开 n.跌倒，失足； 纸条； 失误，口误； 事故 adj.滑动的； 可拆卸的； 打有活结的
database	n. 数据库
mention	vt.提到，说起； 提名表扬 n.提及
relief	n.宽慰，安心； 免除，减轻； 救援物资； 代班人
merely	adv. 仅仅,只不过
passenger	n. 乘客,旅客
extra	adj. 额外的 adv. 特别地 n. 额外的事物，另外收费的
method	n. 方法,办法,条理
gun	n. 枪, 炮
regime	n. 政权，政体；社会制度；管理体制
fail	vi. 衰退,失败,不及格 vt. 辜负,缺少,未能做 n. 不及格
recall	vt. 召回；回想起，记起；取消 n. 召回；回忆；撤消
neither	adj. 皆不,两者都不 int. 两者都不 conj. 既非,既不
minor	adj. 次要的, 较小的, 二流的, 未成年的 n. 未成年人, 辅修科目, [音乐]小调 vi. 辅修
air	n. 空气,旋律,气氛,态度 vt. &vi. 晾干,使通风,广播
soldier	n. 士兵, 军人
confuse	vt. 混乱,狼狈,困惑
deliver	vt.发表； 递送； 交付； 使分娩 vi.投递； 传送
delivery	n. 递送, 交付, 分娩
solution	n. 解答, 解决办法, 溶解, 溶液
resident	adj. 居住的 n. 居民,旅客
tie	n. 结,束缚,不分胜负,(领)带 vt. 系,约束,捆绑 vi. 打结,连结
performance	n.表演； 演技； 表现； 执行
absolutely	adv. 绝对地,完全地;独立地;确实地
nearby	adj. 附近的 adv. 在附近 prep. 在...附近
responsibility	n. 责任, 可信度，责任心
cell	n. 细胞, 电池, 小组, 小房间, 单人牢房, (蜂房的)巢室, 手机
cent	n. 分
fashion	n. 流行,风尚,时样,时装 v. 形成,造,作
destroy	vt. &vi. 破坏,毁坏 [计算机] 撤消
laugh	n. 笑(声),笑料,(复数)娱乐 vt.& vi. 笑
moral	adj. 道德(上)的,有道德的 n. 品行,寓意,道德
phenomenon	n. 现象, 非凡的人或事物
expansion	n. 扩大,膨胀,扩充
concert	n. 音乐会, 一致, 和谐 vt. 制定计划, 通过协商达成一致 vi. 合作
sorry	adj.对不起的； 无价值的，低等的； 遗憾的； 感到伤心的
feature	n. 特征, 容貌 vt. 以...为特色 vi. 起重要作用
regional	adj. 当地的,地区的,局部的,方言的
atmosphere	n. 大气, 气氛，空气, 格调, 情趣, 气压
chapter	n. 章,回,篇,牧师的例行会议,地方分会
tax	n. 税,租税,重负 v. 课以税,使...负重荷,斥责
chart	n. 图表 vt. 制成图表
cheap	adj. 便宜的,品质低的,虚伪的 adv. 便宜地
analyze	v. 分析,分解 vt. 分析
check	vt.检查，核对； 制止，抑制； 在…上打勾 vi.核实，查核； 中止； 打勾； [象棋]将一军 n.<美>支票； 制止，抑制； 检验，核对
urban	adj. 城市的
topic	n. 题目, 话题, 主题
restore	vt. 恢复,归还,翻新
multiple	adj. 许多,多种多样的 n. 倍数,并联
acknowledge	vt. 承认,公认,告知收到,表示感谢,注意到
museum	n. 博物馆
bet	n. 打赌,赌注,最大的可能 vi. 下注 vt. 打赌
risk	n.危险，冒险； 保险额； 被保险人或物 vt.冒…的危险； 使…冒风险（或面临危险）
entirely	adv. 完全地
direction	n. 方向,指导,用法说明,趋势
